SGB641	Akkermansia_muciniphila	Akkermansia_muciniphila	2	s__Akkermansia muciniphila_C	s__Akkermansia_muciniphila-t__SGB9227						
SGB51	Akkermansia_muciniphila	Akkermansia_muciniphila	67	s__Akkermansia muciniphila	s__Akkermansia_muciniphila-t__SGB9226						
SGB375	Akkermansia_muciniphila	Akkermansia_muciniphila	3	s__Akkermansia_muciniphila-t__SGB9225							
SGB576	Akkermansia_muciniphila	Akkermansia_muciniphila	1	GTDB-new	new_SGB						
SGB61	Akkermansia_muciniphila	Akkermansia_muciniphila	11	s__Akkermansia muciniphila_B	s__Akkermansia_muciniphila-t__SGB9228						
SGB317	Alistipes_finegoldii	Alistipes_finegoldii	3	s__Alistipes finegoldii	s__Alistipes_finegoldii-t__SGB2301						
SGB314	Alistipes_indistinctus	Alistipes_indistinctus	4	s__Alistipes_A indistinctus	s__Alistipes_indistinctus-t__SGB2325						
SGB248	Alistipes_onderdonkii	Alistipes_finegoldii	2	Alistipes_onderdonkii	4	s__Alistipes onderdonkii	s__Alistipes_onderdonkii-t__SGB2303				
SGB544	Alistipes_putredinis	Alistipes_putredinis	1	s__Alistipes putredinis	s__Alistipes_putredinis-t__SGB2318						
SGB274-MERGED-SGB386	Alistipes_shahii	Alistipes_shahii	4	Barnesiella_intestinihominis	1	s__Alistipes shahii	s__Alistipes_shahii-t__SGB2295				
SGB251	Alloscardovia_omnicolens	Alloscardovia_omnicolens	10	s__Alloscardovia omnicolens	s__Alloscardovia_omnicolens-t__SGB17300						
SGB553	Anaerococcus_hydrogenalis	Anaerococcus_hydrogenalis	3	s__Anaerococcus hydrogenalis	s__Anaerococcus_hydrogenalis-t__SGB6663						
SGB539	Anaerococcus_hydrogenalis	Anaerococcus_hydrogenalis	1	s__Anaerococcus sp001182725	s__Anaerococcus_sp__SB3-t__SGB6665						
SGB334	Anaerococcus_lactolyticus	Anaerococcus_lactolyticus	2	s__Anaerococcus lactolyticus	s__Anaerococcus_lactolyticus-t__SGB6669						
SGB637	Anaerococcus_prevotii	Anaerococcus_prevotii	1	s__Anaerococcus prevotii_A	s__Anaerococcus_prevotii-t__SGB6679						
SGB132	Anaerococcus_prevotii	Anaerococcus_prevotii	2	s__Anaerococcus prevotii	s__Anaerococcus_prevotii-t__SGB6676						
SGB533	Anaerococcus_rubeinfantis	Anaerococcus_rubeinfantis	2	s__Anaerococcus rubeinfantis	s__Anaerococcus_rubeinfantis-t__SGB29496						
SGB110-MERGED-SGB577	Anaerococcus_tetradius	Anaerococcus_tetradius	2	s__Anaerococcus tetradius	s__Anaerococcus_tetradius-t__SGB6674						
SGB383	Anaerococcus_vaginalis	Anaerococcus_vaginalis	1	s__Anaerococcus vaginalis_B	s__Anaerococcus_vaginalis-t__SGB29499						
SGB516	Anaerococcus_vaginalis	Anaerococcus_vaginalis	1	Anaerococcus_obesiensis	1	s__Anaerococcus vaginalis	s__Anaerococcus_vaginalis-t__SGB6661				
SGB329	Anaerotruncus_colihominis	Anaerotruncus_colihominis	6	s__Anaerotruncus colihominis	s__Anaerotruncus_colihominis-t__SGB14963						
SGB124	Arcanobacterium_sp_S3PF19	noRef	s__Arcanobacterium_A sp000758825	s__Arcanobacterium_sp_S3PF19-t__SGB17200							
SGB455	Atopobium_deltae	Atopobium_deltae	1	s__Atopobium deltae	s__Atopobium_deltae-t__SGB988						
SGB727	Bacillus_amyloliquefaciens	Bacillus_subtilis	1	s__Bacillus amyloliquefaciens	s__Bacillus_amyloliquefaciens-t__SGB7783						
SGB421	Bacillus_atrophaeus	Bacillus_subtilis	1	s__Bacillus atrophaeus	s__Bacillus_atrophaeus-t__SGB7786						
SGB234	Bacillus_coagulans	Bacillus_coagulans	29	s__Bacillus_E coagulans	s__Bacillus_coagulans-t__SGB7729						
SGB111	Bacillus_inaquosorum	Bacillus_subtilis	10	s__Bacillus inaquosorum	s__Bacillus_subtilis-t__SGB7790						
